Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
bam,BAM SQUARE,Title,Default Title,,,,,KCD2261,520859,US,3338 Dufferin Street,,0,0,0,2,2,
moon-compass,BLUE & TURQUOISE MOON COMPASS,Title,Default Title,,,,,TA-4041,520859,US,3338 Dufferin Street,,0,0,0,0,0,
animal-crackers,ANIMAL CRACKERS ROUND,Title,Default Title,,,,,M64P-13,520859,US,3338 Dufferin Street,,0,0,0,0,0,
ndlpt-badge,#NDLPT,Title,Default Title,,,,,INSL346,5209516090,US,3338 Dufferin Street,,0,0,0,0,0,
am-israel-chai,AM ISRAEL CHAI,Title,Default Title,,,,,RS248,520859,US,3338 Dufferin Street,,0,0,0,0,0,
animal-crackers-1,ANIMAL CRACKERS CLUTCH,Title,Default Title,,,,,M513,5209516090,US,3338 Dufferin Street,,0,0,0,0,0,
better-together,BETTER TOGETHER,Title,Default Title,,,,,TA5005,520859,US,3338 Dufferin Street,,0,0,0,1,1,
bluebell-pillow,BLUEBELL FLORAL INSERT,Title,Default Title,,,,,TA6231,520859,US,3338 Dufferin Street,,0,0,0,0,0,
vine-mezuzah,BLUE FILAGREE MEZUZAH,Title,Default Title,,,,,KW133,520859,US,3338 Dufferin Street,,0,0,0,0,0,
blue-butterfly,BLUE BUTTERFLY,Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,0,0,
abstract-tulip-insert,ABSTRACT TULIP INSERT,Title,Default Title,,,,,MDRW022,520859,US,3338 Dufferin Street,,0,0,0,1,1,
apres-pickle,APRÈS PICKLE,Title,Default Title,,,,,HS600,520859,US,3338 Dufferin Street,,0,0,0,2,2,
bohin-sewing-needle-size-23,BOHIN SEWING NEEDLES,Needle size,SIZE 20,,,,,20-32187-20,520859,US,3338 Dufferin Street,,0,0,0,10,10,
red-flower-needle-minder,AUTUMN BLOOMS,Title,Default Title,,,,,AUTBLL,520859,US,3338 Dufferin Street,,0,0,0,1,1,
yellow-flower-needle-minder,BLUE AND YELLOW BLOCK PRINT FLORAL INSERT,Title,Default Title,,,,,BYBLPT,520859,US,3338 Dufferin Street,,0,0,0,0,0,
apres-sun,APRÈS SUN,Title,Default Title,,,,,APRES,520859,US,3338 Dufferin Street,,0,0,0,1,1,
product-confirmation-4,BARGELLO INSERT,Title,Default Title,,,,,BARGE,520859,US,3338 Dufferin Street,,0,0,0,1,1,
black-bookstore-needleminder,BLACK BOOKSTORE NEEDLEMINDER,Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,0,0,
geometric-blue-chess-board,BLUE REFLECTIONS PILLOW,Title,Default Title,,,,,"",63079098,,3338 Dufferin Street,,0,0,0,1,1,
blue-thistle-pillow,BLUEBELL PATTERN PILLOW,Title,Default Title,,,,,"",63079098,,3338 Dufferin Street,,0,0,0,1,1,
animal-crackers-insert,ANIMAL CRACKERS INSERT,Title,Default Title,,,,,"",63079098,US,3338 Dufferin Street,,0,0,0,0,0,
apres-ski-round,APRES SKI ROUND,Title,Default Title,,,,,"",63079098,US,3338 Dufferin Street,,0,0,0,1,1,
blue-ikat-pillow,BLUE IKAT DIAMOND WITH HEARTS,Title,Default Title,,,,,"",63079098,US,3338 Dufferin Street,,0,0,0,1,1,
apres-tennis-square,APRES TENNIS SQUARE,Title,Default Title,,,,,"",63079098,US,3338 Dufferin Street,,0,0,0,1,1,
blue-and-green-flower-key-fob-insert,BLUE AND GREEN FLOWER KEY FOB INSERT,Title,Default Title,,,,,"",63079098,US,3338 Dufferin Street,,0,0,0,1,1,
apres-pickle-square,APRES PICKLE SQUARE,Title,Default Title,,,,,ABC802,63079098,US,3338 Dufferin Street,,0,0,0,0,0,
blue-floral-tallis-bag,BLUE FLORAL TALLIS BAG,Title,Default Title,,,,,EA144,,,3338 Dufferin Street,,0,0,0,1,1,
baseball-tooth-fairy-pillow,BASEBALL TOOTH FAIRY PILLOW,Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,0,0,
needs-details-1,APRES SKI BOLSTER,Title,Default Title,,,,,KCD4685,,,3338 Dufferin Street,,0,0,0,1,1,
bitches-are-people-too,BITCHES ARE PEOPLE TOO,Title,Default Title,,,,,WTS95,,,3338 Dufferin Street,,0,0,0,1,1,
beginner-lesson,"BEGINNER LESSON - MAY 12, 2026",Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,10,10,
aspen,ASPEN,Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,1,1,
blue-floral-jewish-star-tallis-bag,Blue Floral Jewish Star Tallis Bag,Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,1,1,
blue-backgammon-set,Blue Backgammon Set,Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,1,1,
black-and-white-stripe-with-floral,Black and White Stripe with Floral,Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,0,0,
basketball,BASKETBALL,Title,Default Title,,,,,CAMBBALL,,,3338 Dufferin Street,,0,0,0,1,1,
beginner-lesson-may-13-2026,"BEGINNER LESSON - MAY 13, 2026",Title,Default Title,,,,,,,,3338 Dufferin Street,,0,0,0,11,11,
alien-grid,ALIEN GRID,Title,Default Title,,,,,SQ7830573,,,3338 Dufferin Street,,0,0,0,1,1,
canasta-mini,BLUE CANASTA,Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,1,1,
allover-y-pattern-green-clutch,ALLOVER Y PATTERN GREEN CLUTCH,Title,Default Title,,,,,AF256,,,3338 Dufferin Street,,0,0,0,1,1,
allover-y-pattern-black-clutch,ALLOVER Y PATTERN BLACK CLUTCH,Title,Default Title,,,,,AF25BL,,,3338 Dufferin Street,,0,0,0,1,1,
bailey-your-everyday-best-friend,BAILEY YOUR EVERYDAY BEST FRIEND,Title,Default Title,,,,,PET404,,,3338 Dufferin Street,,0,0,0,0,0,
black-self-finishing-leather-purse-need-photo,BLACK SELF-FINISHING LEATHER PURSE - NEED PHOTO,Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,1,1,
boat-keys,BOAT KEYS,Title,Default Title,,,,,"",,,3338 Dufferin Street,,0,0,0,1,1,
anne-of-green-gables,ANNE OF GREEN GABLES,Title,Default Title,,,,,JTD208,,,3338 Dufferin Street,,0,0,0,0,0,
black-girl-in-easter-sunday-best,BLACK GIRL IN EASTER SUNDAY BEST,Title,Default Title,,,,,SBS330,,,3338 Dufferin Street,,0,0,0,1,1,
black-woman-in-easter-sunday-best,BLACK WOMAN IN EASTER SUNDAY BEST,Title,Default Title,,,,,SBS329,,,3338 Dufferin Street,,0,0,0,1,1,
baby-sleeping-floral,BABY SLEEPING FLORAL,Title,Default Title,,,,,GS349,,,3338 Dufferin Street,,0,0,0,0,0,
apres-ski-instructor,APRES SKI INSTRUCTOR,Title,Default Title,,,,,SASCTY34,5209516090,US,3338 Dufferin Street,,0,0,0,1,1,
blue-mahjong,BLUE MAHJONG,Title,Default Title,,,,,,,,3338 Dufferin Street,,0,0,0,1,1,
